audio_path,transcription
fr/clips\common_voice_fr_37102225.mp3,Tous ces avions montaient des moteurs Alfa Romeo.
fr/clips\common_voice_fr_37118026.mp3,Une contrefaçon fut publiée en Belgique.
fr/clips\common_voice_fr_37077389.mp3,Elle reçoit ensuite sur sa rive droite la Drance de Montriond.
fr/clips\common_voice_fr_36597785.mp3,"Il a un frère aîné, Donald."
fr/clips\common_voice_fr_37269896.mp3,Ses caractéristiques principales sont d'être multitâche et multi-utilisateur.
fr/clips\common_voice_fr_37172460.mp3,Ce type d'appareil est encore fabriqué et commercialisé de nos jours.
fr/clips\common_voice_fr_37023784.mp3,"Et, par delà le flot grondeur"
fr/clips\common_voice_fr_37040288.mp3,Des causes sur-évaluées sont l'ostéoporose et le diabète.
fr/clips\common_voice_fr_37050033.mp3,Un large secteur reste encore fouiller.
fr/clips\common_voice_fr_37208987.mp3,Les valeurs du rendement équilibré maximal sont souvent des estimations approximatives.
fr/clips\common_voice_fr_37231335.mp3,Sa principale base navale se situe à Rota.
fr/clips\common_voice_fr_37037042.mp3,Les élèves logent au domaine de Castille et les officiers au château de Bireboy.
fr/clips\common_voice_fr_36952211.mp3,Denis Michelis passe sa petite enfance en Allemagne.
fr/clips\common_voice_fr_37066272.mp3,Marc Mény de Marangue était compositeur de musique.
fr/clips\common_voice_fr_36966211.mp3,"Elle aura pour premier vice-président Jean-Marc Kabund-a-Kabund, le président du parti présidentiel udps."
fr/clips\common_voice_fr_36978903.mp3,Ceux-ci ne sont plus autorisés à collaborer avec les Allemands.
fr/clips\common_voice_fr_36541095.mp3,"Clovis se retira à Bordeaux mais fut attaqué par Sigulf, un officier de Sigebert."
fr/clips\common_voice_fr_37169032.mp3,"Mais deux ans plus tard, le club se scinda en deux cercles distincts."
fr/clips\common_voice_fr_36965463.mp3,Finegan envoya une brigade d’infanterie à la rencontre de l’armée de Seymour.
fr/clips\common_voice_fr_37260629.mp3,"Au cours de sa carrière, le Démolisseur a maille à partir avec les Vengeurs."
fr/clips\common_voice_fr_37184328.mp3,Il sera disponible en juin dans le reste du monde.
fr/clips\common_voice_fr_36894219.mp3,Beaucoup d'objets exceptionnels en mathématiques et en physique ont des liens entre eux.
fr/clips\common_voice_fr_37228377.mp3,L'hexachloroéthane est utilisé militairement dans la fabrication de fumigènes.
fr/clips\common_voice_fr_36808563.mp3,Ce dépassement concernait principalement les prestations remboursées dans les soins de ville.
fr/clips\common_voice_fr_36803620.mp3,Un rocher est un patient.
fr/clips\common_voice_fr_36937580.mp3,Elle est dédiée à sainte Catherine de Sienne.
fr/clips\common_voice_fr_36887395.mp3,"Dans le Limbourg, Bram Vangeel retrouve une place de titulaire dans un club ambitieux."
fr/clips\common_voice_fr_36995540.mp3,Dungkar Lobsang Trinley a été le responsable du monastère.
fr/clips\common_voice_fr_36539760.mp3,Il n’est aucun guano comparable en fertilité au détritus d’une capitale.
fr/clips\common_voice_fr_37175031.mp3,"Pour ses premières leçons d'harmonie, il est l'élève de Dimosthenis Milanakis."
fr/clips\common_voice_fr_37154924.mp3,Les pays nordiques sont régulièrement classés parmi les pays les plus prospères du monde.
fr/clips\common_voice_fr_37174890.mp3,"René du Plessis, fils de Guillaume, posséda aussi les deux terres."
fr/clips\common_voice_fr_36603580.mp3,"Durant le néolithique, Tecuci faisait partie de la civilisation de Coucouteni-Tripolie."
fr/clips\common_voice_fr_36882283.mp3,Il consistait en un terrassement du point le plus haut de la colline.
fr/clips\common_voice_fr_37264849.mp3,La colonne Täglischbeck arrive tant bien que mal à franchir la Loire.
fr/clips\common_voice_fr_36858577.mp3,"Voyez, courez !"
fr/clips\common_voice_fr_37156662.mp3,Le pistage est aussi pratiqué par les chiens de chasse.
fr/clips\common_voice_fr_37011683.mp3,"Il se produit souvent, entre autres, à la boite à Marius de Montréal."
fr/clips\common_voice_fr_37024878.mp3,"En Allemagne, la production des langues-de-chat est répartie entre les sociétés Sarotti, Hachez, Halloren."
fr/clips\common_voice_fr_36677166.mp3,Le postulant devait adresser une requête à la chancellerie royale.
fr/clips\common_voice_fr_37024890.mp3,"Après la Seconde Guerre mondiale, ils s'unissent avec Werner."
fr/clips\common_voice_fr_37120961.mp3,"Il travaille divers matériaux, le marbre, le bronze, la céramique."
fr/clips\common_voice_fr_37031513.mp3,Cette notion est principalement utilisée dans les religions abrahamiques.
fr/clips\common_voice_fr_37142872.mp3,"Face à cet imprévu majeur des travaux, les dépenses sont nettement supérieures aux prévisions."
fr/clips\common_voice_fr_36536955.mp3,Partners Group intervient sur l'ensemble des marchés mondiaux et possède une clientèle internationale.
fr/clips\common_voice_fr_36904463.mp3,Des troupes viennent en renfort depuis l'Anatolie.
fr/clips\common_voice_fr_36536003.mp3,Heynckes réussit son pari jusque là.
fr/clips\common_voice_fr_36837814.mp3,Il a exprimé ses regrets et nié avoir tué d'autres patients.
fr/clips\common_voice_fr_37264853.mp3,Elle se rencontre dans le comté de Santa Cruz vers Bear Valley.
fr/clips\common_voice_fr_36902412.mp3,Il est vice-président honoraire du groupe des anciens députés.
fr/clips\common_voice_fr_36935469.mp3,Il joue actuellement à Leicester City.
