audio_path,transcription
01_get_vaccinated_for_covid19_ar.wav, تمختبار جميع لقاحة كوفيت سعات عشر على نتاقين واسع. وتوفرو جميع وادر جتنعالية من الحماية ضد الأمراض الخطيرة والوفيت نأتي جتعا هذا المرات. لذا خدل قاح المقدملك حتى لو أصبت مصبقا بكوفيت سعات عشر. من المويم الحصول على لقاح فيها سرع وقت ممكن وعدم الإنتظار. بيهذه الطريقة نبن منها جموش شمعاتي نبيشك للصرع ويمكن الناس انف الحياة الطبيعية. يتم ويرسل هذه الرسالة إليك من كبال اليونيسكوة منظمة سحتي العالمية ومحطة الرادي والمحالية لديك.
01_get_vaccinated_for_covid19_en.wav," All the COVID-19 vaccines have been thoroughly tested and all provide a high degree of protection against getting seriously ill and dying from the disease. So take whatever vaccine you are offered. Even if you have already had COVID-. This message is brought to you by UNESCO, WHO and your local radio station."
01_get_vaccinated_for_covid19_fr.wav," Tous les vaccins contre la Covid-19 ont été testées de manière à profondie, et tous, offrent un degrés et levé de protection contre les formes graves de la maladie et les risques de déceil. Fait donc le vaccin qui vous est proposé, même si vous avez déjà eu la Covid-19. Il est important de se faire vacciner le plus tôt plus rapidement l'immunité dans nos communautés et pour en reprendre une vie normale. Ce message vous est présenté par l'une escale, l'OMS et votre station de Radio-Local."
02_what_to_do_after_being_vaccinated_ar.wav, بينما يمنعوا لقحك في تسعة عشر لمراد الخطيرة والوفاية لنا ربحت لانما يتكانا يمنعوا ك من الهصابة ونجشار بيروس إلى اجخاص اخرين. لذا اسمرف لبتحدي جسدينا عن الاخرين والسدائي القناق ستن في الأمكين المخطية إيصوحالين أوعة سنفلم الفق. إن خلال يقيم بكل هذا فان تدعمين جميعاً يتمو يسال هذه الرسالة إليك من قبل اليوميسكوة منظمة سحتي على ميار ومحطة الرادول محلية لديك.
02_what_to_do_after_being_vaccinated_en.wav," While the COVID-19 vaccine prevents serious illness and death, we don't know yet whether it keeps you from being infected and passing the virus onto others. So continue to physically distance yourself from others and wear a mask, especially in enclosed, crowded or poorly ventilated settings, clean your hands frequently, and cover any cough or sneeze into your bent elbow, doing it all, protects us all. This message is brought to you by UNESCO, WHO and your local radio station."
02_what_to_do_after_being_vaccinated_fr.wav," Si le vaccin contre la Covid-19 prévient les formes graves de la maladie et les décès, nous ne savons toujours pas si l'empêche de trafecter et de transmettre le virus à d'autres personnes. Continuons donc de maintenir une distance de sécurité avec les autres et de porter un masque sur tout dans les lieux clôt, sur peuplés ou malventilés. Nétoyez fréquemment vos mains et couvrez tout ou éternument dans coup de pliée. En faisant cela, vous nous protéger tous. Ce message vous est présenté par l'une escale, l'OMS et votre station de radio-locale."
03_covid_19_vaccine_side_effects_to_expect_ar.wav, تتشبه الأثر الجنبيات الشيح لقاحات كبيتسعة عشر معاتل كلموجودة في لقاحات الأخرى. الألم أو التورو مفماوقى الحقنة الحماء القجعارة التحاب وآلم الرئس. في موضم الحلات من المتوقع حدوث وعري الأثار. التصيل بمقدم الرحية السحية الخاص بلك إذا كان هناك حميرارون أو حزاسية أو الألمون في المكان الذي تلقيت فيه الحقنا التي تزدد بعض اربعين وعشرين ساحة أو إذا لم تحتفل الزروجان بيابا حتب ذحتيا يهم يتم ويرسل هذه الرسالة إليك من قبل اليونيسكوة من الزمتسحة العالمية ومحطة الرادم حلية لديك you
03_covid_19_vaccine_side_effects_to_expect_en.wav," Common side effects of the COVID-19 vaccines are similar to those of other vaccines, pain or swelling of the injection site, and fever, chills, tiredness and headache. In most cases, this is expected. Contact your care provider if there is redness, tenderness or pain where you got the shot that increases after 24 hours, or if side effects do not go away after a few days. This message is brought to you by UNESCO, WHO and your local radio station."
03_covid_19_vaccine_side_effects_to_expect_fr.wav," Les effets secondaires courant des vaccins contre la Covid-19 sont similaires à ceux des autres vaccins. D'où leur ou gonflement au point d'injection, fie-euvre, frisson, fatigue et modotette. Dans les plus par décats, ces effets sont attendus. Communiquiez à votre fornisseur de soins si vous avez une rougeur, une sensibilité ou une douleur à l'entraveuse à vers dessus l'injection qui augmente après 24 heures, ou si les effets secondaires ne disparaissent pas à quelques jours. Ce message vous est présenté par l'une escale, l'OMS et votre station de radiolocale."
2020_03_25_000030_ci_covid19_unesco_msg01_ara.wav, الأخبر والكاتبات تشير مثل في الروس التجي. لمواجهة هذا الأمر من المهيم بمشاركة المعلومات التي تأتي من مسادر الموثقة. الحكومات والسلوطات سحيامة لمنظمة سحد العالمية أو وزارة سحاء والسلوطات سحية المحالية. اثناء تفشيك في التسهات عشان فقط بمسادر المعلومات الرسمية وزائل العالم الموثوق بها لا تشاريك المعلومات التي لم يتم تحقق منها هذه الرسالة من اليونيسكو
